"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1201	4	25	14			"SLOVENIA"		130	"BALKANS NW:  SLOVENIA:  STYRIA"	46.4	15.3			8										
	1202	5	20		100		"SYRIA"		140	"SYRIA:  SOUTHWESTERN"	33.5	36		7.6	11	30000					30000				
	1202	7	25				"CHINA"		30	"CHINA:  FUJIAN PROVINCE:  KIEN NAN CHAN"	27.1	118.4													
	1208	7	16				"IRAN"		140	"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM"	36.3	57.6		6.5											
	1208						"TURKMENISTAN"		40	"TURKMENISTAN:  GURGANDZHE"	42	60	10	6.1	9	2000									
	1209	12	4				"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  FUSHAN"	36	111.8		6.3	9	3000					3000				
	1209						"IRAN"		140	"IRAN:  NISHAPUR"	36	58.8	10	7.6	9										
	1211	6	15				"EGYPT"		15	"EGYPT:  AL-QAHIRAH (CAIRO)"	30.5	31.3													
	1219	6	2				"CHINA"		30	"CHINA:  NINGXIA"	36	106.2		6.5	9	10000					10000				
	1222	5			101		"CYPRUS"		130	"CYPRUS"	34.5	33													
	1222	12	25	11			"ITALY"		130	"ITALY:  BRESCIA"	45.55	10.22			10	12000					12000				
	1223						"ITALY"		130	"ITALY:  SIPONTO"	41.6	15.9			10										
	1227	7					"CHINA"		30	"CHINA:  NINGXIA"	38.5	106.3		5.5	7										
	1227						"FRANCE"		120	"FRANCE:  LAMBESC,  HIGH ALPS,PROVENCE"	43.6	5.3			11	5000									
	1231	3	11		3478		"TURKEY"		140	"TURKEY: ISTANBUL (CONSTANTINOPLE)"	41	28.6		6.9	8										
	1231	6	1				"ITALY"		130	"ITALY:  S. GERMANO, MONTECASSINO"	41.5	13.8			10										
	1233						"ITALY"		130	"ITALY:  VENEZIA (VENICE)"	45.3	12.2		5.6											
	1237	3					"ALBANIA"		130	"ALBANIA"	41.3	19.5			10										
	1237	8	24				"IRAN"		140	"IRAN:  GONABAD (DASHT-E-BAYAZ-GONABAD)"	34.2	58.4													
	1237						"ALBANIA"		130	"ALBANIA:  DURRES"	41.2	19.3			10										
	1241	5	22		104		"JAPAN"		30	"JAPAN:  KAMAKURA"	35.2	139.4		7											
	1248						"ITALY"		130	"ITALY:  SABAUDIA"	41	13				9000									
	1255	6	7				"NEPAL"		60	"NEPAL:  KATHMANDU"	27.7	85.3													
	1257	10	9		106		"JAPAN"		30	"JAPAN:  SAGAMI BAY"	35.2	139.5		7											
	1257	10	9		105		"JAPAN"		30	"SANRIKU, JAPAN"	39	144		7.5											
	1259						"ITALY"		130	"ITALY:  TRAPANI"	38	12.5			10										
	1267						"IRAN"		140	"IRAN:  NEYSHABUR (NEISHABUR)"	36	58.8	10	5.8	9										
	1268						"TURKEY"		140	"TURKEY:  ERZINCAN"	39.75	39.5			9	15000					15000				
	1269						"TURKEY"		140	"TURKEY:  CICILIA, CEYHAN (SEYHAN)"						8000					8000				
	1272	7	29				"IRAN"		140	"IRAN:  TABRIZ"	38	46.2				250									
	1273	9			108		"ALBANIA"		130	"ALBANIA:  DURRES"	41.3	19.7		6.5	9										
	1273						"ITALY"		130	"ITALY:  POTENZA"	40.6	15.8			10										
	1275	4	14				"GEORGIA"		40	"GEORGIA"	42.1	44.2	28	6.7											
	1276						"MOROCCO"		15	"MOROCCO:  EL ARAISH (LARACHE)"	35.1	-6.1													
	1277	7	20				"ITALY"		130	"ITALY:  VERONA"	45.3	11		5.1											
	1279	4	30				"ITALY"		130	"ITALY:  FORLI, ROMAGNA, BOLOGNA"	44.2	12			11										
	1280	5	3				"IRAN"		140	"IRAN:  NEISHABUR-SHADYAK"	36.1	58.5													
